Ref,Val,Package,PosX,PosY,Rot,Side
C1,1u,C_0805,28.781500,8.382000,180.000000,top
C2,18p,C_0805,21.669500,11.049000,180.000000,top
C3,18p,C_0805,21.653500,20.701000,0.000000,top
C4,100n,C_0805,19.764500,5.207000,0.000000,top
C5,100n,C_0805,42.481500,20.955000,90.000000,top
C6,10n,C_0805,24.812500,5.334000,0.000000,top
C7,100n,C_0805,16.573500,21.955000,270.000000,top
C8,100n,C_0805,11.099800,32.207200,90.000000,top
C9,10n,C_0805,51.371500,27.797000,90.000000,top
C10,C,C_1206,10.326500,36.449000,180.000000,top
F1,F_Small,R_1210,52.514500,14.732000,90.000000,top
R1,R,R_0805,29.273500,37.719000,180.000000,top
R2,22,R_0805,34.800500,6.858000,180.000000,top
R3,22,R_0805,34.800500,4.445000,180.000000,top
R4,470,R_0805,12.443500,8.382000,0.000000,top
R5,470,R_0805,11.747500,19.177000,0.000000,top
R6,470,R_0805,11.112500,26.162000,0.000000,top
R7,R,R_1206,10.858500,39.497000,180.000000,top
U1,SN75160,SOIC-20_7.5x12.8mm_Pitch1.27mm,41.211500,33.274000,270.000000,top
U2,SN75161,SOIC-20_7.5x12.8mm_Pitch1.27mm,20.891500,33.274000,270.000000,top
U3,PIC18(L)F4550-I/PT,TQFP-44_10x10mm_Pitch0.8mm,31.686500,17.780000,180.000000,top
X1,8MHz,Crystal_SMD_5032_4Pads,21.710500,15.907000,90.000000,top
